Location	Text on Tile	Action	Price	Rent	Rent with Upgrade	Upgrade Cost	Description Text		Upgrade Text
0	GO	2	200	0	0	0	Go! Collect $200 as you pass 		0
1	Discount Den	0	60	2	10	50	The Den is an iconic landmark within the Purdue University community that has been serving students and alumni since 1982. Located within easy walking distance from campus, it has something for everyone: university logoed clothing, snacks, soft drinks, cards, novelty gifts, school supplies and more. The most notable item, of course, is the famous “Den Pop” which has become an integral part of the Purdue experience among Boilermakers, both on campus and around the globe.	Hope you enjoyed your Den Pop! Pay {} on your way out!	Den Pops are cheap, invest $50 to renovate the kitchen and add Mary Lou Donuts. Player will now spend $10
2	Community Chest	5	0	0	0	0	Community Chest!	0	0
3	University Spirit	0	60	2	20	50	Player spends 2 at the Purdue Shop.		Business is slow, invest 50 to create a custom edition shirt. Players will now spend 20
4	School Supplies 	2	200	0	0	0	Time to buy school supplies. This cost you $200		0
5	Silver Loop	3	200	0	0	0	CityBus is a contracted partner with Purdue University for public transportation services. The agreement is called an “unlimited access” agreement because it gives Purdue students, faculty, and staff unlimited, fare-free access to the CityBus system. The value of the agreement is negotiated each year. Silver Loop operates every 5 minutes Monday-Friday, 7:05 a.m.-6:15 p.m. This route serves the central core of campus and includes destinations such as First Street Towers, Earhart Residence Hall, Córdova Recreational Sports Center, Ford Dining Court, Northwestern Avenue, Purdue Memorial Union and the Memorial Mall.	Thanks for riding the Silver Loop! Pay {}	0
6	Au Bon Pain	0	100	6	30	50	Au Bon Pain. Simply put, it means, “from good bread.” Good bread is the foundation of a good meal. It is the key to a handcrafted sandwich, the essence of a sweet pastry, and the best way to turn a soup or salad into a meal. We pride ourselves on being a gourmet convenience where you live and work that offers good bread as the cornerstone of our marketplace. Convientently located in the Walc Center		
7	Chance	1	0	0	0	0	Chance!		0
8	Cary Knight Spot	0	100	6	30	50	Amelia's is home to fresh sandwiches, soups and salads, which are made in house every day along with other foods and a variety made-to-order beverages. Try the BLT, roast beef, or even PB&J to go with the rotating soup of the day. Located on the lower level of Armstrong Hall of Engineering.		
9	MSEE Beans	0	120	8	40	50	Beans lives up to its name with fresh coffee and expresso-based drinks, as well as fresh grab-and-go deli items, baked goods, snacks and a soup of the day. Beans also serves Panda Express® rice bowls on location during lunch hours. Located on the first floor of the Materials and Electrical Engineering building.		Coffee doesn't keep enough business, invest 120 to add Panda Express during lunch. Players will now spend 40
10	In Open Lab/Just Visiting	4	0	0	0	0	Just visiting.... 		0
11	Two Fellas	0	140	10	50	100	Player spends 10 at Two Fellas		
12	Coffee Expense	2	150	0	0	0	Coffee is expensive, to bad you need it. Pay $150		0
13	Famous Franks	0	140	10	50	100	Famous Frank's Hot Dog Stand has become a popular pit stop for the late-night bar crowd. From 11:30 p.m. to 3:30 a.m., Frank Farmer and his crew set up The All-American Original Famous Frank's Hot Dog Stand, a large metal trailer where they sell food to passersby. Farmer has owned and operated the hot dog stand for 12 years. Two and half years ago he began setting up his cart across from Harry's Chocolate Shop. Farmer said he got the idea after he saw how well a college friend did with a stand in a similar location.	Hope the Hot dog was worth it! You owe Frank {}	
14	Mad Mushroom	0	160	12	60	100	Mad Mushroom makes all of our food using only the best ingredients and will deliver it right to your door. We make our dough in store daily and all of our vegetables are hand cut so they are always fresh. We offer speedy and reliable delivery service so you never have to wait long to fill your head with the best food in town and getting your hands on some of our famous Original Cheesestix has never been more convenient with our easy to use Online Ordering.	You owe {}. Enjoy your Cheesy Bread!	
15	Gold Loop	3	200	0	0	0	CityBus is a contracted partner with Purdue University for public transportation services. The agreement is called an “unlimited access” agreement because it gives Purdue students, faculty, and staff unlimited, fare-free access to the CityBus system. The value of the agreement is negotiated each year. 28 Gold Loop operates every 12 minutes Monday-Friday, 6:57 a.m.-6:12 p.m . This route serves the Purdue Village, Shreve Hall, Hillenbrand Hall, McCutcheon Hall, Honors College, Class of 1950, Stewart Center, the Memorial Mall, and the Discovery Lot.	Thanks for riding the Gold Loop! Pay {}	0
16	Triple XXX	0	180	14	70	100	Today, the last iconic Triple XXX Thirst Station remains in West Lafayette, Indiana, where it’s been on the hill, but on the level, since 1929. Just steps from the campus of Purdue University in West Lafayette, Indiana, you can’t help but notice the Triple XXX on the hill in Chauncey Village. Ask almost any regular who sits along the winding countertop how long they’ve been coming in and ordering the Breakfast Special, or Duane Purvis, and you’ll hear some great stories that span generations. Tourists, travelers, and locals alike, could count on great food at affordable prices. 	Hope you enjoyed your burger! Pay {} on the way out.	
17	Community Chest	5	0	0	0	0	Community Chest!		0
