Location	Text on Tile	Action	Price	Rent	Rent with Upgrade	Upgrade Cost	RGB Led	Description Text	Rent/Payment Text	Upgrade Text
0	GO	2	200	0	0	0	0, 1	Go! Collect $200 as you pass 		0
1	Discount Den	0	60	2	10	50	2	The Den is an iconic landmark within the Purdue University community that has been serving students and alumni since 1982. Located within easy walking distance from campus, it has something for everyone: university logoed clothing, snacks, soft drinks, cards, novelty gifts, school supplies and more. The most notable item, of course, is the famous “Den Pop” which has become an integral part of the Purdue experience among Boilermakers, both on campus and around the globe.	Hope you enjoyed your Den Pop! Pay ${} on your way out!	Den Pops are cheap, invest $50 to renovate the kitchen and add Mary Lou Donuts. Player will now spend $10 at the Discount Den.
2	Community Chest	5	0	0	0	0	3	Community Chest!	0	0
3	University Spirit	0	60	2	20	50	4	Welcome to University Spirit where you can shop where the coaches and players shop! They have been in operation for over 30 years. Their goals has always been to provide the highest quality and greatest variety of Purdue merchandise available. No matter what you're looking for, 'If it's Gold and Black, we've got it... and more!' They look forward to offering their unique collegiate products to their many loyal Boilermaker fans and friends worldwide. Boiler Up!	Purdue themed merchandise is not free! Spend ${} to get your Purdue gear and souvenirs!	Business is slow, invest $50 to create a custom edition shirt. Players will now spend $20 when they come to University Spirit.
4	School Supplies 	2	200	0	0	0	5	Time to buy school supplies. This cost you $200. Textbooks and notepads are expensive!		0
5	Silver Loop	3	200	0	0	0	6	CityBus is a contracted partner with Purdue University for public transportation services. The agreement is called an 'unlimited access' agreement because it gives Purdue students, faculty, and staff unlimited, fare-free access to the CityBus system. The value of the agreement is negotiated each year. Silver Loop operates every 5 minutes Monday-Friday, 7:05 a.m.-6:15 p.m. This route serves the central core of campus and includes destinations such as First Street Towers, Earhart Residence Hall, Cordova Recreational Sports Center, Ford Dining Court, Northwestern Avenue, Purdue Memorial Union and the Memorial Mall.	Thanks for riding the Silver Loop! Pay ${} for bus fare.	0
6	Au Bon Pain	0	100	6	30	50	7	Au Bon Pain. Simply put, it means, 'from good bread.' Good bread is the foundation of a good meal. It is the key to a handcrafted sandwich, the essence of a sweet pastry, and the best way to turn a soup or salad into a meal. We pride ourselves on being a gourmet convenience where you live and work that offers good bread as the cornerstone of our marketplace. Conveniently located in the Wilmeth Active Learning Center	Studying is hungry work and you can't resist splurging at Au Bon Pain for those tasty sandwiches and soups! Spend ${} on food from Au Bon Pain.	The WALC is a great spot to attract business... but most people aren't interested in waiting for gourmet. Expand the menu by adding ready-made and On-the-go style options for $50. Players will now spend $30 when they visit Au Bon Pain.
7	Chance	1	0	0	0	0	8	Chance!		0
8	Cary Knight Spot Grill	0	100	6	30	50	9	This late-night restaurant is located in southeast Cary Quad, at the corner of Stadium Avenue and University Street. Sports fans can kick back, watch the game and fuel up with great food! Need a snack? Try one of their appetizers including popcorn chicken, cheesy bread or French fries. How about a real meal? Order a freshly made Erbert's and Gerbert's deli sub, thick and juicy burger or a toasted sub. Indulge in a milkshake and mix in candy, cookies or your favorite flavor. What a great way to finish your day!	Milkshakes and bugers, the flesh and vitae of any night-owl watching the game. Spend ${} at the Knight Spot.	Milkshakes and other Grill savories are great, but people need coffee to stay awake! Spend $50 to add Starbucks coffee and drinks to the menu. Players will now spend $30 at Cary Knight Spot.
9	MSEE Beans	0	120	8	40	50	10	Beans lives up to its name with fresh coffee and espresso-based drinks, as well as fresh grab-and-go deli items, baked goods, snacks and a soup of the day. Beans also serves Panda Express rice bowls on location during lunch hours. Located on the first floor of the Materials and Electrical Engineering building.	You're between classes and need a quick pick-me up to satisfy that caffeine addiction! Spend ${} at Beans.	Coffee doesn't keep enough business, invest $50 to add Panda Express during lunch. Players will now spend $40 at Beans.
10	Just Visiting Lab	4	0	0	0	0	11	Just visiting.... 		0
11	Two Fellas Grill	0	140	10	50	100	12	Two Fellas Grill! Grilled Wraps and Tater Tots. Now serving WMU and Purdue! Late Night Delivery! It's A Wrap!	The Wraps and Tater Tots are simply too delicious! Spend ${} on a delightful meal.	Some people want to eat early. Spend $100 on a breakfast menu. Players will now spend $50 at Two Fellas.
12	Coffee Expense	2	150	0	0	0	13	Coffee is expensive, too bad you need it. Pay $150		0
13	Famous Franks	0	140	10	50	100	14	Famous Frank's Hot Dog Stand has become a popular pit stop for the late-night bar crowd. From 11:30 p.m. to 3:30 a.m., Frank Farmer and his crew set up The All-American Original Famous Frank's Hot Dog Stand, a large metal trailer where they sell food to passersby. Farmer has owned and operated the hot dog stand for 12 years. Two and half years ago he began setting up his cart across from Harry's Chocolate Shop. Farmer said he got the idea after he saw how well a college friend did with a stand in a similar location.	Hope the Hot dog was worth it! You owe Frank ${}.	The trailer's starting to look rusty and out-dated. What you need is a new paint job! Spend $100 on a hot new paint-job for this culinary set of wheels, and draw in more customers! Players will now spend $50 at Famous Frank's.
14	Mad Mushroom	0	160	12	60	100	15	Mad Mushroom makes all of their food using only the best ingredients and will deliver it right to your door. They make their dough in store daily and all of their vegetables are hand cut so they are always fresh. They offer speedy and reliable delivery service so you never have to wait long to fill your head with the best food in town and getting your hands on some of their famous Original Cheese Stix has never been more convenient with their easy to use Online Ordering. Feed Your Head!	You owe ${}. Enjoy your Cheesy Bread!	Most customers order Mad Mush online. Spruce up your website and Online Ordering system for $100 and rake in that dough. Players will now spend $60 at Mad Mushroom.
15	Gold Loop	3	200	0	0	0	16	CityBus is a contracted partner with Purdue University for public transportation services. The agreement is called an 'unlimited access' agreement because it gives Purdue students, faculty, and staff unlimited, fare-free access to the CityBus system. The value of the agreement is negotiated each year. 28 Gold Loop operates every 12 minutes Monday-Friday, 6:57 a.m.-6:12 p.m . This route serves the Purdue Village, Shreve Hall, Hillenbrand Hall, McCutcheon Hall, Honors College, Class of 1950, Stewart Center, the Memorial Mall, and the Discovery Lot.	Thanks for riding the Gold Loop! Pay {} for bus fare.	0
16	Triple XXX	0	180	14	70	100	17	Today, the last iconic Triple XXX Thirst Station remains in West Lafayette, Indiana, where it's been on the hill, but on the level, since 1929. Just steps from the campus of Purdue University in West Lafayette, Indiana, you can't help but notice the Triple XXX on the hill in Chauncey Village. Ask almost any regular who sits along the winding countertop how long they've been coming in and ordering the Breakfast Special, or Duane Purvis, and you'll hear some great stories that span generations. Tourists, travelers, and locals alike, could count on great food at affordable prices. 	Hope you enjoyed your burger! Pay {} on the way out.	The Drive-In hasn't been used as much in recent years. Spruce it up and launch an ad-campaign for $100 to make drive-in's popular on campus again! Players will now spend $70 at Triple XXX. 
17	Community Chest	5	0	0	0	0	18	Community Chest!		0
18	9 Irish Brothers	0	180	14	70	100	19	The story of O'Bryan's Nine Irish Brothers begins 30 years ago, when founder Jerry O'Bryan told his wife, Jan, that if his other business didn't work out, he wanted to open an Irish pub. Jerry's business, The Hairman, ended up being a campus icon, but after 30 years, two children and a grandchild, Jerry finally decided it was time to realize his dream, an authentic Irish pub serving traditional Irish fare, Guinness by the pint, and featuring live music and the friendly, upbeat atmosphere typical of Irish pubs world-wide. O'Bryan's Nine Irish Brothers is an award-winning traditional Irish pub--recently named the Best Irish Pub in the State of Indiana by Yelp and Buzzfeed, as well as the 'Irish Pub Worth Traveling For' in Indianapolis by TripAdvisor. 	No better time for a pint at Nine Irish! Spend ${} on your Guinness and never forget to settle your tab before the night is out.	Live music always draws in the crowds at an Irish pub. Spend $100 on hiring more local talent to play at the pub, and people are going to stay longer for more of that traditional Irish fare. Players will now spend $70 at Nine Irish Brothers.
19	Jimmy Johns	0	200	16	80	100	20	Jimmy John's serve from-scratch food made with excellent ingredients. At Jimmy John's the food is simple; it's clean, and it's fresh! They use locally purchased produce, which is brought in fresh and hand sliced daily. Their tuna salad is made from scratch by hand. They real provolone cheese, oven-roasted turkey, choice top round roast beef, real wood-smoked ham, dry cured genoa salami, and spicy capicola are also brought in fresh and sliced by hand daily -- in every single Jimmy John's location. Their bread bakers bake our French bread all day, every day. They try to manage bread so that all of our French bread is served within four hours of when it was baked. If you like whole grain wheat bread, try the 9-grain wheat bread -- thick sliced and pretty close to perfect.	Freaky Fast! Freaky Good! Pay ${} for that sandwich.	There's a great demand for sandwich delivery these days, and you need fast delivery men. Spend $100 on better bikes and more deliverymen to deliver Jimmy John's. Players will now spend $80 when they order from Jimmy John's.
20	Free Parking	4	0	0	0	0	48	Free Parking! As long as it's not Mon-Fri, 7am-5pm		0
21	Brothers Bar and Grill	0	220	18	90	150	47	Brothers is a modernized throwback to the old Midwestern corner tavern. A clean, relaxed social hangout; our bar stock-full of cold beer and drink with a kitchen in the back serving up comfortable American food fare. Food portions are large and juicy; Drink prices are good and plenty.  A lot of televisions and not a bad seat in the house. It's hard to imagine you won't leave here satisfied.	Hope you enjoyed your night! Pay your tab of {} before you leave!	Thursday nights start slow, invest $90 in buying T-shirts and giving them out for free. Players will now spend $150 at Brothers.
22	Chance	1	0	0	0	0	46	Chance!		0
